model,acc,ci_lo,ci_hi,auroc,majority_class,n
PWM Δ-score (floor),0.4930747922437673,0.4432132963988919,0.5429362880886427,,0.5650969529085873,361
Logistic-motifs (in-dist),0.5290858725761773,0.4792243767313019,0.5789473684210527,0.5444923192206819,0.5650969529085873,361
GBT-motifs (in-dist),0.4986149584487535,0.445983379501385,0.5485457063711907,0.5008117896840264,0.5650969529085873,361
AlphaGenome (incumbent),0.537,0.485,0.587,0.547,0.5650969529085873,361
Borzoi (incumbent),0.551,0.499,0.601,0.562,0.5650969529085873,361
